City,Area,Bedrooms,Price
Delhi,955.0,1.0,68.91
Chennai,1562.0,2.0,77.73
Bangalore,1166.0,3.0,101.88
Lucknow,1044.0,2.0,55.39
Jaipur,1820.0,5.0,93.61
Chennai,767.0,2.0,89.46
Pune,1987.0,4.0,102.83
Delhi,1955.0,3.0,100.72
Chennai,1211.0,3.0,90.79
Lucknow,2014.0,4.0,80.48
Delhi,944.0,,
Kolkata,1697.0,2.0,84.46
Chennai,1306.0,2.0,84.18
Hyderabad,577.0,1.0,67.78
Delhi,1047.0,3.0,100.58
Lucknow,1230.0,1.0,50.05
Mumbai,1611.0,,
Jaipur,1109.0,2.0,68.23
Ahmedabad,1190.0,3.0,72.12
Bangalore,1516.0,2.0,90.91
Ahmedabad,1495.0,4.0,82.05
Lucknow,1263.0,2.0,67.66
Pune,1178.0,3.0,92.67
Pune,1675.0,4.0,98.22
Mumbai,1176.0,2.0,96.99
Bangalore,824.0,4.0,90.32
Hyderabad,1142.0,,
Mumbai,1518.0,4.0,115.91
Ahmedabad,1240.0,3.0,82.49
Mumbai,1098.0,2.0,91.45
Ahmedabad,798.0,4.0,80.83
Delhi,1242.0,3.0,96.13
Pune,1391.0,1.0,77.78
Delhi,897.0,,
Jaipur,1224.0,4.0,78.26
Bangalore,862.0,2.0,96.44
Hyderabad,1248.0,1.0,65.12
Ahmedabad,1990.0,3.0,92.69
Hyderabad,1368.0,4.0,101.04
Ahmedabad,667.0,1.0,60.7
Lucknow,1432.0,,
Mumbai,1824.0,3.0,117.4
Jaipur,746.0,1.0,47.89
Pune,881.0,3.0,80.06
Ahmedabad,1403.0,1.0,70.58
Hyderabad,1265.0,3.0,86.95
Jaipur,1784.0,2.0,68.12
Kolkata,1227.0,2.0,81.12
Kolkata,1630.0,4.0,93.33
Delhi,1911.0,2.0,91.53
Pune,952.0,3.0,84.78
Lucknow,1599.0,3.0,69.94
Hyderabad,1139.0,2.0,66.08
Mumbai,413.0,1.0,93.55
Mumbai,1490.0,1.0,102.89
Hyderabad,1539.0,2.0,81.13
Bangalore,680.0,4.0,97.08
Lucknow,1118.0,3.0,64.64
Jaipur,1050.0,4.0,81.46
Ahmedabad,1623.0,3.0,75.7
Bangalore,680.0,1.0,85.13
Ahmedabad,1342.0,2.0,69.27
Ahmedabad,364.0,1.0,59.73
Bangalore,1451.0,1.0,87.33
Delhi,1350.0,2.0,87.19
Kolkata,1095.0,2.0,70.27
Ahmedabad,1871.0,3.0,83.72
Bangalore,250.0,1.0,75.39
Bangalore,1292.0,3.0,101.49
Chennai,1779.0,1.0,89.59
Delhi,1351.0,2.0,89.29
Pune,1846.0,2.0,83.75
Chennai,1119.0,2.0,77.66
Chennai,1233.0,2.0,87.33
Hyderabad,1793.0,1.0,83.15
Kolkata,1657.0,2.0,77.23
Bangalore,2259.0,1.0,104.84
Kolkata,1341.0,4.0,93.48
Lucknow,1380.0,1.0,63.71
Hyderabad,1115.0,5.0,92.6
Pune,1218.0,2.0,96.27
Kolkata,1731.0,3.0,87.08
Mumbai,1299.0,3.0,111.1
Ahmedabad,977.0,3.0,73.7
Lucknow,1149.0,2.0,51.08
Delhi,1263.0,1.0,80.26
Pune,1002.0,3.0,89.14
Lucknow,1116.0,1.0,61.19
Ahmedabad,900.0,3.0,62.08
Hyderabad,1130.0,4.0,87.68
Ahmedabad,1766.0,3.0,86.23
Chennai,1319.0,2.0,78.02
Ahmedabad,2284.0,2.0,81.53
Chennai,994.0,,
Hyderabad,1494.0,3.0,87.29
Jaipur,,3.0,
Chennai,1560.0,2.0,88.93
Delhi,1057.0,2.0,83.06
Ahmedabad,1152.0,2.0,68.03
Ahmedabad,1462.0,5.0,94.31
Delhi,1098.0,1.0,78.96
Mumbai,590.0,2.0,99.93
Bangalore,1824.0,1.0,87.9
Jaipur,1655.0,2.0,78.53
Pune,,4.0,
Chennai,1387.0,,
Delhi,1702.0,3.0,96.17
Hyderabad,1837.0,2.0,85.8
Chennai,1341.0,3.0,99.96
Bangalore,1065.0,4.0,97.77
Hyderabad,1885.0,2.0,86.63
Lucknow,1337.0,1.0,57.22
Ahmedabad,1241.0,2.0,70.02
Lucknow,1405.0,2.0,72.27
Chennai,1761.0,3.0,92.83
Bangalore,1284.0,4.0,98.55
Jaipur,1694.0,1.0,60.52
Chennai,1216.0,3.0,97.05
Delhi,1543.0,1.0,86.48
Kolkata,920.0,1.0,72.61
Chennai,1727.0,3.0,94.58
Ahmedabad,1029.0,4.0,76.48
Ahmedabad,1483.0,2.0,71.55
Chennai,705.0,2.0,75.08
Hyderabad,1309.0,3.0,82.09
Kolkata,1375.0,3.0,82.89
Delhi,1027.0,4.0,94.6
Chennai,1256.0,2.0,71.02
Hyderabad,1404.0,3.0,89.6
Ahmedabad,1525.0,2.0,69.69
Ahmedabad,1340.0,3.0,83.9
Bangalore,1832.0,2.0,104.78
Chennai,1763.0,1.0,83.75
Kolkata,1287.0,4.0,74.96
Mumbai,767.0,3.0,108.34
Kolkata,1105.0,1.0,71.91
Ahmedabad,408.0,3.0,61.73
Ahmedabad,1226.0,,
Lucknow,1860.0,2.0,54.65
Ahmedabad,1616.0,2.0,72.72
Delhi,1333.0,2.0,96.52
Pune,1009.0,2.0,85.61
Chennai,1348.0,5.0,99.5
Kolkata,2152.0,3.0,91.35
Pune,1895.0,4.0,101.27
Hyderabad,1239.0,3.0,94.03
Mumbai,707.0,3.0,89.89
Delhi,2183.0,1.0,94.45
Kolkata,1008.0,3.0,79.78
Pune,1512.0,3.0,92.97
Mumbai,676.0,1.0,82.5
Lucknow,1170.0,3.0,68.28
Delhi,674.0,1.0,72.18
Delhi,835.0,4.0,98.54
Lucknow,930.0,5.0,71.38
Chennai,1490.0,3.0,80.25
Lucknow,1261.0,1.0,50.33
Delhi,2384.0,3.0,99.96
Delhi,1753.0,3.0,102.7
Pune,1762.0,4.0,97.43
Ahmedabad,1501.0,1.0,71.53
Mumbai,1410.0,3.0,103.84
Lucknow,1775.0,1.0,67.2
Mumbai,347.0,3.0,102.39
Lucknow,1051.0,4.0,73.24
Hyderabad,,4.0,
Delhi,546.0,3.0,83.66
Ahmedabad,992.0,3.0,69.37
Pune,840.0,4.0,93.04
Ahmedabad,1777.0,3.0,81.6
Ahmedabad,1336.0,2.0,76.8
Ahmedabad,496.0,4.0,64.8
Mumbai,1425.0,2.0,104.64
Lucknow,895.0,3.0,67.8
Jaipur,1324.0,2.0,68.23
Hyderabad,1457.0,1.0,74.32
Kolkata,999.0,3.0,80.5
Ahmedabad,1386.0,3.0,80.58
Chennai,1460.0,2.0,87.44
Mumbai,1234.0,2.0,106.43
Pune,1012.0,2.0,79.48
Kolkata,1301.0,3.0,82.71
Jaipur,1244.0,2.0,74.47
Chennai,1426.0,4.0,85.14
Jaipur,1194.0,1.0,73.93
Kolkata,823.0,4.0,76.72
Ahmedabad,1232.0,3.0,74.06
Chennai,1430.0,2.0,79.97
Jaipur,1374.0,1.0,65.25
Pune,1255.0,4.0,95.72
Lucknow,1105.0,5.0,78.81
Delhi,1084.0,5.0,101.68
Lucknow,1126.0,2.0,58.84
Kolkata,1730.0,1.0,78.51
Mumbai,920.0,2.0,103.32
Delhi,1336.0,2.0,86.28
Hyderabad,796.0,1.0,70.79
Pune,1605.0,3.0,93.02
Hyderabad,1085.0,3.0,85.94
Chennai,969.0,3.0,84.43
Delhi,1386.0,1.0,88.6
Hyderabad,315.0,2.0,66.15
Hyderabad,780.0,2.0,74.59
Jaipur,1444.0,4.0,77.29
Lucknow,1705.0,4.0,81.81
Jaipur,1480.0,2.0,70.96
Delhi,1355.0,2.0,88.52
Delhi,2264.0,2.0,103.5
Kolkata,1496.0,3.0,89.66
Jaipur,882.0,2.0,58.97
Bangalore,1709.0,2.0,92.73
Lucknow,1043.0,1.0,59.23
Delhi,1016.0,3.0,82.17
Kolkata,747.0,,
Jaipur,1135.0,3.0,73.43
Lucknow,808.0,3.0,67.63
Jaipur,1522.0,4.0,73.41
Hyderabad,1249.0,1.0,74.39
Kolkata,755.0,2.0,67.13
Lucknow,1267.0,4.0,71.16
Ahmedabad,1697.0,2.0,77.31
Chennai,1948.0,2.0,85.54
Chennai,584.0,1.0,71.38
Lucknow,988.0,3.0,63.78
Jaipur,784.0,1.0,50.62
Kolkata,1441.0,3.0,83.2
Chennai,736.0,2.0,80.67
Kolkata,1723.0,2.0,86.61
Chennai,1781.0,3.0,103.11
Hyderabad,1627.0,3.0,88.86
Jaipur,1013.0,2.0,59.31
Hyderabad,1038.0,2.0,76.26
Chennai,1117.0,3.0,82.17
Ahmedabad,1742.0,2.0,74.58
Ahmedabad,620.0,1.0,58.02
Hyderabad,1454.0,3.0,94.61
Ahmedabad,926.0,3.0,64.99
Chennai,1132.0,1.0,77.68
Lucknow,1594.0,2.0,60.74
Hyderabad,693.0,1.0,72.39
Mumbai,1188.0,3.0,110.71
Jaipur,1248.0,3.0,77.6
Ahmedabad,1285.0,2.0,65.93
Ahmedabad,1258.0,4.0,84.7
Delhi,1522.0,5.0,101.89
Bangalore,1119.0,5.0,108.31
Hyderabad,1446.0,5.0,93.96
Pune,1431.0,4.0,96.71
Ahmedabad,1414.0,2.0,73.35
Jaipur,1511.0,1.0,72.89
Mumbai,1412.0,4.0,104.92
Ahmedabad,1264.0,2.0,78.6
Mumbai,,2.0,
Chennai,1842.0,1.0,79.79
Chennai,1977.0,3.0,90.52
Bangalore,1156.0,,
Lucknow,1482.0,2.0,65.28
Pune,1080.0,3.0,85.82
Delhi,1011.0,5.0,96.44
Bangalore,1322.0,2.0,92.57
Kolkata,2422.0,3.0,85.17
Delhi,1938.0,2.0,93.88
Hyderabad,1878.0,2.0,88.9
Jaipur,1507.0,2.0,68.62
Kolkata,932.0,4.0,89.55
Kolkata,1714.0,,
Bangalore,163.0,3.0,85.27
Lucknow,1456.0,2.0,59.46
Bangalore,1739.0,3.0,107.46
Hyderabad,1360.0,2.0,76.86
Ahmedabad,1963.0,2.0,84.71
Ahmedabad,729.0,3.0,66.85
Lucknow,1940.0,3.0,77.77
Hyderabad,1236.0,4.0,86.81
Lucknow,1880.0,3.0,68.06
Mumbai,1708.0,4.0,117.9
Ahmedabad,1905.0,1.0,65.37
Kolkata,1690.0,2.0,93.36
Pune,1576.0,4.0,98.99
Jaipur,1846.0,2.0,73.41
Hyderabad,1322.0,2.0,69.12
Delhi,1540.0,3.0,96.66
Lucknow,1298.0,4.0,76.81
Jaipur,1025.0,2.0,62.23
Delhi,1510.0,2.0,89.57
Jaipur,1378.0,3.0,75.52
Pune,1802.0,3.0,102.81
Delhi,1223.0,4.0,91.31
Bangalore,995.0,3.0,100.67
Chennai,1797.0,2.0,91.68
Bangalore,1325.0,3.0,91.53
Ahmedabad,983.0,2.0,58.53
Chennai,1855.0,1.0,78.78
Bangalore,1670.0,2.0,94.52
Chennai,2039.0,2.0,83.65
Chennai,1163.0,1.0,78.39
Kolkata,1107.0,2.0,70.45
Lucknow,865.0,3.0,66.22
Lucknow,1073.0,2.0,58.93
Kolkata,1145.0,2.0,75.17
Jaipur,1573.0,3.0,81.33
Mumbai,928.0,1.0,99.68
Jaipur,1034.0,3.0,73.87
Delhi,1978.0,3.0,93.66
Delhi,127.0,4.0,80.57
Chennai,1492.0,2.0,81.96
Bangalore,783.0,3.0,102.21
Bangalore,977.0,3.0,88.4
Lucknow,1869.0,3.0,76.73
Hyderabad,1328.0,4.0,84.23
Jaipur,2362.0,3.0,86.64
Ahmedabad,1550.0,2.0,69.46
Pune,968.0,3.0,89.1
Bangalore,1523.0,5.0,105.6
Pune,1751.0,4.0,96.19
Chennai,1508.0,5.0,99.34
Pune,1213.0,1.0,75.4
Ahmedabad,623.0,2.0,58.79
Kolkata,1171.0,2.0,74.21
Ahmedabad,1967.0,2.0,78.68
Pune,981.0,,
Ahmedabad,1135.0,4.0,80.32
Mumbai,1697.0,3.0,103.34
Chennai,1547.0,3.0,92.05
Jaipur,776.0,2.0,73.82
Kolkata,1256.0,2.0,76.56
Bangalore,1862.0,3.0,104.58
Delhi,1310.0,3.0,87.34
Jaipur,1872.0,3.0,77.56
Delhi,1895.0,1.0,80.73
Chennai,928.0,2.0,84.85
Kolkata,1181.0,1.0,65.65
Lucknow,1563.0,1.0,59.75
Bangalore,684.0,3.0,100.41
Mumbai,1210.0,2.0,101.13
Lucknow,1518.0,5.0,79.41
Chennai,1051.0,3.0,87.07
Jaipur,1535.0,3.0,82.53
Mumbai,1059.0,2.0,98.91
Ahmedabad,1055.0,1.0,71.72
Pune,1597.0,3.0,94.94
Mumbai,1847.0,4.0,121.97
Chennai,1015.0,1.0,79.42
Hyderabad,815.0,3.0,82.21
Pune,1285.0,2.0,83.5
Delhi,1486.0,3.0,93.87
Bangalore,1011.0,3.0,91.16
Delhi,1964.0,1.0,84.7
Mumbai,1241.0,3.0,105.27
Delhi,,5.0,
Chennai,2072.0,3.0,92.73
Ahmedabad,1806.0,2.0,70.98
Jaipur,1009.0,2.0,68.31
Bangalore,1726.0,5.0,120.74
Delhi,1037.0,3.0,100.31
Delhi,1607.0,2.0,94.36
Mumbai,2010.0,,
Jaipur,816.0,5.0,87.32
Lucknow,1084.0,3.0,68.82
Delhi,1093.0,1.0,85.67
Chennai,1406.0,1.0,85.89
Hyderabad,1489.0,4.0,100.47
Bangalore,1264.0,3.0,98.12
Delhi,627.0,1.0,71.94
Chennai,807.0,3.0,89.42
Chennai,946.0,2.0,61.88
Bangalore,1523.0,3.0,95.57
Lucknow,741.0,2.0,66.57
Chennai,934.0,2.0,76.01
Hyderabad,846.0,2.0,84.83
Chennai,1436.0,2.0,80.69
Chennai,1752.0,2.0,81.09
Chennai,1361.0,1.0,79.88
Ahmedabad,2097.0,1.0,78.1
Ahmedabad,1361.0,4.0,79.31
Lucknow,1262.0,4.0,74.58
Delhi,986.0,1.0,81.58
Chennai,1381.0,3.0,90.36
Jaipur,969.0,3.0,84.31
Delhi,908.0,1.0,75.97
Lucknow,896.0,1.0,55.94
Kolkata,1210.0,3.0,79.03
Delhi,1099.0,2.0,80.48
Delhi,2361.0,3.0,103.07
Pune,1383.0,3.0,82.63
Mumbai,1377.0,1.0,101.07
Pune,1079.0,3.0,89.86
Hyderabad,2526.0,2.0,90.6
Ahmedabad,930.0,2.0,66.21
Ahmedabad,1110.0,3.0,80.41
Mumbai,1699.0,3.0,110.59
Bangalore,1380.0,2.0,88.71
Bangalore,790.0,1.0,79.72
Lucknow,1310.0,3.0,73.38
Mumbai,1571.0,4.0,124.7
Delhi,1504.0,5.0,105.94
Bangalore,1564.0,2.0,96.87
Chennai,2174.0,1.0,85.7
Jaipur,1408.0,4.0,77.77
Delhi,1618.0,2.0,86.16
Hyderabad,330.0,1.0,66.37
Chennai,2046.0,2.0,89.02
Chennai,1325.0,,
Mumbai,952.0,2.0,100.8
Lucknow,1221.0,,
Hyderabad,,5.0,
Bangalore,1713.0,3.0,101.43
Mumbai,1261.0,2.0,99.19
Bangalore,1540.0,3.0,97.46
Mumbai,1194.0,3.0,110.84
Mumbai,1496.0,4.0,106.7
Mumbai,1382.0,1.0,106.02
Lucknow,1420.0,3.0,71.34
Mumbai,1175.0,2.0,107.18
Kolkata,1461.0,3.0,79.52
Jaipur,969.0,3.0,79.99
Bangalore,,1.0,
Delhi,1046.0,3.0,88.94
Pune,902.0,3.0,87.48
Hyderabad,1017.0,2.0,78.73
Ahmedabad,1216.0,1.0,67.65
Lucknow,1088.0,2.0,61.88
Delhi,1458.0,3.0,85.55
Chennai,1331.0,2.0,87.14
Kolkata,1705.0,4.0,94.87
Ahmedabad,1266.0,2.0,65.35
Pune,1372.0,2.0,79.26
Delhi,2046.0,3.0,102.43
Ahmedabad,1124.0,2.0,71.08
Delhi,1185.0,3.0,97.47
Kolkata,1781.0,2.0,88.55
Pune,917.0,2.0,90.6
Chennai,1826.0,4.0,95.44
Mumbai,1205.0,,
Bangalore,966.0,2.0,82.42
Chennai,1662.0,1.0,77.93
Mumbai,1199.0,3.0,111.93
Lucknow,2029.0,2.0,62.44
Jaipur,1332.0,1.0,56.2
Hyderabad,1329.0,1.0,72.36
Hyderabad,1065.0,2.0,79.7
Bangalore,1241.0,3.0,101.05
Pune,1190.0,3.0,88.68
Kolkata,1832.0,5.0,94.26
Pune,1415.0,2.0,90.41
Kolkata,1582.0,1.0,73.82
Pune,1339.0,2.0,71.31
Jaipur,1135.0,2.0,70.07
Lucknow,1448.0,3.0,73.02
Lucknow,1936.0,5.0,89.54
Mumbai,880.0,2.0,94.08
Ahmedabad,1467.0,2.0,74.51
Lucknow,1898.0,2.0,75.19
Lucknow,974.0,4.0,76.06
Chennai,1668.0,3.0,89.08
Chennai,1669.0,5.0,95.8
Mumbai,782.0,3.0,96.6
Ahmedabad,1744.0,3.0,64.73
Bangalore,1062.0,1.0,85.79
Chennai,1443.0,5.0,92.2
Bangalore,1709.0,3.0,107.9
Delhi,1780.0,3.0,90.57
Chennai,685.0,2.0,77.42
Jaipur,2015.0,1.0,60.82
Ahmedabad,1867.0,1.0,75.41
Mumbai,1720.0,1.0,110.12
Delhi,1444.0,5.0,109.4
